,date,title,price,condition,likes,url
44,2025-06-25,"Clearance Sale: Smartphones, iPads, Macbooks",S$1,Like new,14,https://www.carousell.sg/p/clearance-sale-smartphones-ipads-macbooks-1376689951/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=49
45,2025-06-25,Cheap Toshiba i5 Win 11 Nvidia Light Gaming Laptop,S$199,Well used,1,https://www.carousell.sg/p/cheap-toshiba-i5-win-11-nvidia-light-gaming-laptop-1376809383/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=50
46,2025-06-25,"TOUCHSCREEN Lenovo ThinkPad X390 i7 8th Generation, Led 13.3 inches Full HD with Windows 11 Pro . Ms Office Pro 2021, pristine condition",S$395,Like new,0,https://www.carousell.sg/p/touchscreen-lenovo-thinkpad-x390-i7-8th-generation-led-13-3-inches-full-hd-with-windows-11-pro-ms-office-pro-2021-pristine-condition-1376808338/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=51
47,2025-06-25,2019 CTO i5 MacBook Air,S$299,Well used,5,https://www.carousell.sg/p/2019-cto-i5-macbook-air-1376807494/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=GgFmdx4PiEFt7x0R&t-referrer_sort_by=popular&t-tap_index=52
48,2025-06-25,Lenovo Ryzen 5 IdeaPad Laptop,S$299,Lightly used,3,https://www.carousell.sg/p/lenovo-ryzen-5-ideapad-laptop-1376807386/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=53
49,2025-06-25,Surface Laptop Studio,S$588,Lightly used,0,https://www.carousell.sg/p/surface-laptop-studio-1376807297/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=56
50,2025-06-25,(Like New) Lenovo Legion 5,"S$1,050",Like new,0,https://www.carousell.sg/p/like-new-lenovo-legion-5-1376806798/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=57
51,2025-06-25,Macbook Pro 13-inch M2 with Touchbar | 16GB | 256GB | Model A2338,"S$1,200",Lightly used,0,https://www.carousell.sg/p/macbook-pro-13-inch-m2-with-touchbar-16gb-256gb-model-a2338-1376804410/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=58
52,2025-06-25,🔥 [ 2-in-1 Dell Latitude 5320 ] - Intel i7-11th | 16GB RAM | 512GB SSD 🔥,S$720,Lightly used,0,https://www.carousell.sg/p/%F0%9F%94%A5-2-in-1-dell-latitude-5320-intel-i7-11th-16gb-ram-512gb-ssd-%F0%9F%94%A5-1376804361/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=59
53,2025-06-25,MacBook Pro 2020 (4TB),S$550,Like new,0,https://www.carousell.sg/p/macbook-pro-2020-4tb-1376802842/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=60
54,2025-06-25,"RTX4060 i7-12650H/16GB/512GB SSD/15.6"" FHD IPS 144Hz Acer Nitro 5 (AN515-58) Gaming Laptop","S$1,000",Like new,1,https://www.carousell.sg/p/rtx4060-i7-12650h-16gb-512gb-ssd-15-6-fhd-ips-144hz-acer-nitro-5-an515-58-gaming-laptop-1376802771/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=61
55,2025-06-25,Microsoft Surface Book 2,S$350,Lightly used,2,https://www.carousell.sg/p/microsoft-surface-book-2-1376802371/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=62
56,2025-06-25,Amazon Kindle,S$40,Brand new,5,https://www.carousell.sg/p/amazon-kindle-1376801060/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=63
57,2025-06-25,ASUS Laptop - Windows 10,S$200,Well used,1,https://www.carousell.sg/p/asus-laptop-windows-10-1376799626/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=64
58,2025-06-25,HP stream 11-ak0xxx in white,S$100,Well used,1,https://www.carousell.sg/p/hp-stream-11-ak0xxx-in-white-1376799193/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=65
59,2025-06-25,Lenovo I5-10th gen 16gb ram 512gb ssd,S$320,Like new,0,https://www.carousell.sg/p/lenovo-i5-10th-gen-16gb-ram-512gb-ssd-1376796269/?t-id=rdi5OoIjtl_1750823294682&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=4d_i0yQKTe-xu4kD&t-referrer_sort_by=popular&t-tap_index=66
