,date,title,price,url
22,6/24/2025,i7 T14 Touchscreen Lenovo ThinkPad Business Laptop | 14”FHD IPS | i7-10610U 16GB 256/512/1TB | Wi-Fi 6 | Windows 11 Pro Microsoft Office 2021 Pro,S$599,https://www.carousell.sg/p/i7-t14-touchscreen-lenovo-thinkpad-business-laptop-14%E2%80%9Dfhd-ips-i7-10610u-16gb-256-512-1tb-wi-fi-6-windows-11-pro-microsoft-office-2021-pro-1374073582/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=26
23,6/24/2025,"13.3"" DELL i5-8GEN /16GB/256GB/1.2KG LIGHT WEIGHT SSD LAPTOP WITH LATEST WINDOWS 11 PRO MS OFFICE 2021",S$270,https://www.carousell.sg/p/13-3-dell-i5-8gen-16gb-256gb-1-2kg-light-weight-ssd-laptop-with-latest-windows-11-pro-ms-office-2021-1345954248/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=27
24,6/24/2025,Thermaltake Core P3 Snow Edition,S$300,https://www.carousell.sg/p/thermaltake-core-p3-snow-edition-1376748237/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=28
25,6/24/2025,"MacBook Pro (15-inch, 2017)",S$200,https://www.carousell.sg/p/macbook-pro-15-inch-2017-1376747938/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=29
26,6/24/2025,MacBook Air M3 13inch 16+256G 95new laptop notebook apple pc,"S$1,098",https://www.carousell.sg/p/macbook-air-m3-13inch-16-256g-95new-laptop-notebook-apple-pc-1376747681/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=30
27,6/24/2025,32gbRAM+1TB SSD Dell ♦️powerful Laptop | 14” | Core i7 8th Gen | NVIDIA Graphics | Great for Work- gaming - Windows 11 Pro - Microsoft office 2021,S$538,https://www.carousell.sg/p/32gbram-1tb-ssd-dell-%E2%99%A6%EF%B8%8Fpowerful-laptop-14%E2%80%9D-core-i7-8th-gen-nvidia-graphics-great-for-work-gaming-windows-11-pro-microsoft-office-2021-1371547815/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=31
28,6/24/2025,Dell| 14” | Core i7 8th Gen | NVIDIA Graphics 2 GB | RAM 16 GB - SSD 256 GB - Great for Work- Windows 11 Pro - Microsoft office 2021,S$368,https://www.carousell.sg/p/dell-14%E2%80%9D-core-i7-8th-gen-nvidia-graphics-2-gb-ram-16-gb-ssd-256-gb-great-for-work-windows-11-pro-microsoft-office-2021-1374603672/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=32
29,6/24/2025,"[HOT] i7-8GEN THINKPAD/16GB/256GB/1.3kg/14"" IPS LENOVO T SERIES ULTRA LIGHT CARBON WINDOWS 11 PRO SSD ORIGINAL LAPTOP TYPE C FLAGSHIP up to 4.80GHz",S$350,https://www.carousell.sg/p/hot-i7-8gen-thinkpad-16gb-256gb-1-3kg-14-ips-lenovo-t-series-ultra-light-carbon-windows-11-pro-ssd-original-laptop-type-c-flagship-up-to-4-80ghz-1295159761/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=33
30,6/24/2025,Acer Nitro 5 AN515-43 laptop,S$250,https://www.carousell.sg/p/acer-nitro-5-an515-43-laptop-1376746946/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=34
31,6/24/2025,"HP EliteBook 845 G8 Laptop | 14"" Touchscreen | AMD R5 Pro 5650U | 16GB/32GB RAM | Wi-Fi 6E | Windows 11 Office 2021",S$599,https://www.carousell.sg/p/hp-elitebook-845-g8-laptop-14-touchscreen-amd-r5-pro-5650u-16gb-32gb-ram-wi-fi-6e-windows-11-office-2021-1351850952/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=35
